id,datetime,latitude,longitude,magnitude,location,location-broad
10240,14/07/2022 15:06,60.2156,-150.8542,24,Alaska,North America
10241,14/07/2022 15:43,-18.5112,-65.7272,42,Bolivia,South America
10242,14/07/2022 15:54,38.7152,-116.1029,11,Nevada,North America
10243,14/07/2022 16:07,39.4326667,-110.2963333,6,Utah,North America
10244,14/07/2022 16:10,59.9042,-152.8598,16,Alaska,North America
10245,14/07/2022 16:11,-6.0395,148.5767,42,Papua New Guinea,Oceania
10246,14/07/2022 16:30,31.68308284,-104.4245897,6,New Mexico,North America
10247,14/07/2022 16:38,38.697,-116.0832,9,Nevada,North America
10248,14/07/2022 16:53,58.1974,-156.0259,10,Alaska,North America
10249,14/07/2022 17:15,-6.5255,128.5551,40,Timor Leste,Oceania
10250,14/07/2022 17:20,19.20633316,-155.3851624,8,Hawaii,North America
10251,14/07/2022 17:37,51.9562,-172.8624,10,Alaska,North America
10252,14/07/2022 17:50,-15.0115,166.9262,81,Vanuatu,Oceania
10253,14/07/2022 18:14,-8.1493,120.026,36,Indonesia,Asia
10254,14/07/2022 18:27,0.0691,123.2909,34,Indonesia,Asia
10255,14/07/2022 18:49,18.43283333,-66.24933333,20,Puerto Rico,Central America
10256,14/07/2022 18:51,58.8553,-150.7435,18,Alaska,North America
10257,14/07/2022 18:54,33.2725,-115.9846667,24,California,North America
10258,14/07/2022 18:54,33.276,-115.9808333,7,California,North America
10259,14/07/2022 19:16,10.7317,-62.6013,64,Venezuela,South America
10260,14/07/2022 19:30,34.2206667,-117.5951667,19,California,North America
10261,14/07/2022 19:50,18.02883333,-66.76883333,9,Puerto Rico,Central America
10262,14/07/2022 20:11,38.577,-119.4613333,10,California,North America
10263,14/07/2022 20:11,38.5806667,-119.4523333,9,California,North America
10264,14/07/2022 20:15,39.4311667,-110.293,6,Utah,North America
10265,14/07/2022 20:25,34.218,-117.5976667,13,California,North America
10266,14/07/2022 20:45,34.8596667,-116.3445,8,California,North America
10267,14/07/2022 20:45,-4.645,139.2608,36,Indonesia,Asia
10268,14/07/2022 20:55,17.98016667,-66.7555,11,Puerto Rico,Central America
10269,14/07/2022 21:11,49.34333333,-120.4991667,43,Canada,North America
10270,14/07/2022 21:11,0.6761,94.7391,32,Indonesia,Asia
10271,14/07/2022 21:37,55.2762,-163.3939,16,Alaska,North America
10272,14/07/2022 22:04,16.2674,145.1203,47,Northern Mariana Islands,Oceania
10273,14/07/2022 22:19,59.4185,-146.761,21,Alaska,North America
10274,14/07/2022 22:30,-2.0408,-79.7797,77,Ecuador,South America
10275,14/07/2022 22:34,-15.1011,167.0305,50,Vanuatu,Oceania
10276,14/07/2022 23:17,-15.0306,166.9028,58,Vanuatu,Oceania
10277,14/07/2022 23:24,17.94383333,-66.92733333,6,Puerto Rico,Central America
10278,14/07/2022 23:27,-22.0076,169.9034,38,New Caledonia,Oceania
10279,15/07/2022 00:00,19.19716644,-155.3945007,6,Hawaii,North America
10280,15/07/2022 01:06,18.02683333,-66.80683333,7,Puerto Rico,Central America
10281,15/07/2022 01:12,19.17333333,-155.4765,21,Hawaii,North America
10282,15/07/2022 01:19,35.7091667,-117.5843333,44,California,North America
10283,15/07/2022 01:48,17.9685,-67.07,7,Puerto Rico,Central America
10284,15/07/2022 02:42,41.283,-123.5321667,15,California,North America
10285,15/07/2022 03:01,-30.9396,-71.5666,40,Chile,South America
10286,15/07/2022 03:21,51.4945,178.8949,6,Alaska,North America
10287,15/07/2022 04:05,17.9435,-66.931,11,Puerto Rico,Central America
10288,15/07/2022 04:12,31.6493298,-104.2262256,8,Texas,North America
10289,15/07/2022 04:17,31.64838276,-104.2316006,7,Texas,North America
10290,15/07/2022 04:23,31.64007664,-104.2379983,6,Texas,North America
10291,15/07/2022 04:38,61.6014,-150.3044,6,Alaska,North America
10292,15/07/2022 04:58,31.66858202,-104.3932339,9,New Mexico,North America
10293,15/07/2022 05:00,31.68051685,-104.3954941,9,New Mexico,North America
10294,15/07/2022 05:04,36.9616667,-112.891,6,Arizona,North America
10295,15/07/2022 05:07,31.64936846,-104.2186914,8,Texas,North America
10296,15/07/2022 05:09,19.1665,-66.58066667,15,Puerto Rico,Central America
10297,15/07/2022 05:10,31.65095079,-104.2238153,10,Texas,North America
10298,15/07/2022 05:38,35.7136667,-117.5798333,8,California,North America
10299,15/07/2022 07:04,-21.2047,-68.5124,42,Chile,South America
10300,15/07/2022 07:18,10.856,124.8902,36,Philippines,Asia
10301,15/07/2022 07:18,17.96066667,-66.96466667,5,Puerto Rico,Central America
10302,15/07/2022 08:16,24.7559,122.2389,38,Taiwan,Asia
10303,15/07/2022 08:22,31.6492625,-104.2391414,7,Texas,North America
10304,15/07/2022 08:36,15.5106,120.0844,47,Philippines,Asia
10305,15/07/2022 08:41,13.9366,-89.8426,40,El Salvador,Central America
10306,15/07/2022 08:46,19.21366692,-155.5036621,6,Hawaii,North America
10307,15/07/2022 08:53,19.342,-70.6473,32,Dominican Republic,Central America
10308,15/07/2022 08:54,57.6083,-152.7555,18,Alaska,North America
10309,15/07/2022 09:06,19.16733333,-155.4996667,14,Hawaii,North America
10310,15/07/2022 09:13,19.16200066,-155.4958344,8,Hawaii,North America
